miRNA	Locus
ath-miR169a-5p	ath-MIR169a_chr3_4358894-4359319
ath-miR169c	ath-MIR169a_chr3_4358894-4359319
ath-miR170	AT2G01990
ath-miR171	AT1G67430
ath-miR172	AT3G14770
ath-miR1886	AT1G10700
ath-miR1886	AT3G61440
ath-miR1887	AT3G57330
ath-miR1888	AT3G60910
ath-miR2112	AT5G65060
ath-miR2939	AT4G13810
ath-miR3440	AT3G15900
ath-miR390	AT1G62800
ath-miR390	AT1G79970
ath-miR390	AT3G10920
ath-miR390	AT3G24660
ath-miR391	AT4G37550
ath-miR395	AT2G45190
ath-miR396	AT2G35930
ath-miR396	AT4G32590
ath-miR396	AT5G07700
ath-miR397	AT3G55630
ath-miR398	AT1G08050
ath-miR398	AT3G06370
ath-miR398	AT3G09720
ath-miR399	AT1G08165
ath-miR399	AT3G54890
ath-miR402	AT1G27695
ath-miR403	AT1G77080
ath-miR403	AT2G34280
ath-miR406	AT5G03040
ath-miR406	AT5G17110
ath-miR407	AT1G27770
ath-miR408	AT1G72010
ath-miR408	AT2G30210
ath-miR415	AT1G04990
ath-miR415	AT5G17580
ath-miR417	AT4G09730
ath-miR419	AT5G50200
ath-miR4239	AT3G54720
ath-miR4240	AT4G37700
ath-miR4245	AT4G12650
ath-miR426	AT2G43080
ath-miR447	AT4G33650
ath-miR472	AT1G15890
ath-miR5013	AT1G34400
ath-miR5013	AT5G08350
ath-miR5013	AT5G09710
ath-miR5017	AT1G51070
ath-miR5017	AT3G51000
ath-miR5020	AT1G57610
ath-miR5024	AT3G31375
ath-miR5025	AT4G30280
ath-miR5026	AT4G35070
ath-miR5027	AT1G33680
ath-miR5027	AT1G49970
ath-miR5027	AT3G59765
ath-miR5029	AT5G09510
ath-miR5631	AT2G20260
ath-miR5631	AT5G20960
ath-miR5632	AT1G70310
ath-miR5632	AT3G05480
ath-miR5633	AT4G00450
ath-miR5637	AT1G51140
ath-miR5637	AT1G60170
ath-miR5637	ath-MIR5637_chr2_12270079-12270473
ath-miR5639	AT3G63490
ath-miR5641	AT1G60900
ath-miR5641	AT3G59670
ath-miR5644	AT4G02510
ath-miR5645	AT5G20170
ath-miR5646	AT3G22960
ath-miR5647	AT1G11170
ath-miR5647	AT1G74880
ath-miR5648	AT1G29270
ath-miR5650	AT1G71840
ath-miR5653	AT5G25752
ath-miR5656	AT2G38390
ath-miR5664	AT3G27170
ath-miR5664	AT5G66005
ath-miR5995	AT2G23550
ath-miR5998	AT5G37370
ath-miR5999	AT2G27710
ath-miR771	AT4G11440
ath-miR773	AT1G15340
ath-miR773	AT3G03050
ath-miR773	AT4G14540
ath-miR774	AT3G61130
ath-miR775	AT1G52700
ath-miR777	AT2G03470
ath-miR777	AT2G17880
ath-miR777	AT4G26530
ath-miR779	AT2G40290
ath-miR779	AT2G41050
ath-miR780	AT2G35010
ath-miR8166	AT4G39350
ath-miR8166	AT5G20160
ath-miR8169	AT5G20130
ath-miR8173	AT5G02820
ath-miR8173	AT5G27650
ath-miR8174	AT3G05625
ath-miR8178	AT2G35260
ath-miR8179	AT2G13665
ath-miR8181	AT5G19380
ath-miR8183	AT1G16560
ath-miR8183	AT5G03850
ath-miR8183	AT5G44610
ath-miR8183	AT5G65450
ath-miR8184	AT5G15410
ath-miR822	AT2G21330
ath-miR822	AT5G02350
ath-miR823	AT2G33830
ath-miR826	AT1G09730
ath-miR826	AT2G40510
ath-miR826	AT4G03038
ath-miR829	AT1G15860
ath-miR829	AT3G48560
ath-miR829	AT3G51760
ath-miR830	AT5G24920
ath-miR833	AT3G19780
ath-miR834	AT2G39720
ath-miR835	AT4G01935
ath-miR840	AT1G51070
ath-miR841	AT2G38810
ath-miR843	AT4G25640
ath-miR844	AT5G03900
ath-miR844-5p	ath-MIR844_chr2_9942051-9942435
ath-miR845	AT2G01973
ath-miR845	AT4G22190
ath-miR846	AT2G22980
ath-miR846	AT2G44410
ath-miR846	AT2G45245
ath-miR851	AT3G46520
ath-miR852	AT4G11450
ath-miR853	AT2G34040
ath-miR857	AT1G21410
ath-miR857	AT5G16750
ath-miR859	AT1G25055
ath-miR862	AT5G58330
ath-miR867	AT5G40830
ath-miR868	AT1G16720
ath-miR868	AT1G69020
ath-miR868	AT4G26570
ath-miR870	AT4G22330
ath-miR870	AT4G24370
ath-miR870	AT5G42820
ath-miR870	AT5G49380
ath-miR402	AT3G02400
ath-miR393	AT2G37620
ath-miR398	AT2G27530
ath-miR398	AT5G61670
ath-miR864	AT2G44150
ath-miR5014	AT5G05010
ath-miR850	AT2G01755
ath-miR398	AT3G05675
ath-miR169	AT4G11211
ath-miR2939	AT2G05540
ath-miR833	AT5G08100
ath-miR394	AT5G12470
ath-miR5651	AT4G26900
ath-miR163	AT5G38780
ath-miR3932	AT4G31340
ath-miR171	AT1G21670
ath-miR408	AT2G35635
ath-miR846	AT2G22970
ath-miR5652	AT1G27420
ath-miR868	AT1G67360
ath-miR416	AT1G79750
ath-miR165	AT1G56200
ath-miR850	AT2G37400
ath-miR405	AT1G53790
ath-miR855	AT2G01650
ath-miR403	AT1G15410
ath-miR5629	AT4G36620
ath-miR831	AT2G02960
ath-miR848	AT2G30800
ath-miR163	AT3G21600
ath-miR400	AT5G02870
